time,continuous_time,target_inclination,sensor_inclination,target_orientation,sensor_orientation
10,10,10,10.48,90,93.19
10.02,10.02,10,10.47,90,93.15
10.04,10.04,10,10.47,90,93.09
10.06,10.06,10,10.48,90,93.11
10.08,10.08,10,10.49,90,93.13
10.1,10.1,10,10.49,90,93.19
10.12,10.12,10,10.5,90,93.1
10.14,10.14,10,10.54,90,92.92
10.16,10.16,10,10.57,90,92.71
10.18,10.18,10,10.6,90,92.54
10.2,10.2,10,10.61,90,92.43
10.23,10.23,10,10.61,90,92.41
10.25,10.25,10,10.61,90,92.45
10.27,10.27,10,10.56,90,92.66
10.29,10.29,10,10.5,90,92.97
10.31,10.31,10,10.48,90,93.19
10.33,10.33,10,10.44,90,93.33
10.35,10.35,10,10.41,90,93.41
10.37,10.37,10,10.41,90,93.45
10.39,10.39,10,10.38,90,93.49
10.41,10.41,10,10.35,90,93.56
10.43,10.43,10,10.34,90,93.61
10.45,10.45,10,10.33,90,93.59
10.47,10.47,10,10.34,90,93.58
10.49,10.49,10,10.33,90,93.61
10.51,10.51,10,10.34,90,93.58
10.53,10.53,10,10.37,90,93.51
10.55,10.55,10,10.36,90,93.53
10.57,10.57,10,10.36,90,93.48
10.6,10.6,10,10.39,90,93.4
10.62,10.62,10,10.41,90,93.33
10.64,10.64,10,10.4,90,93.35
10.66,10.66,10,10.39,90,93.39
10.68,10.68,10,10.39,90,93.4
10.7,10.7,10,10.4,90,93.44
10.72,10.72,10,10.41,90,93.42
10.74,10.74,10,10.41,90,93.4
10.76,10.76,10,10.4,90,93.37
10.78,10.78,10,10.4,90,93.27
10.8,10.8,10,10.41,90,93.16
10.82,10.82,10,10.43,90,93.09
10.84,10.84,10,10.44,90,92.98
10.86,10.86,10,10.45,90,92.89
10.88,10.88,10,10.46,90,92.87
10.9,10.9,10,10.45,90,92.89
10.92,10.92,10,10.44,90,92.95
10.94,10.94,10,10.42,90,93.02
10.97,10.97,10,10.41,90,93.09
10.99,10.99,10,10.41,90,93.15
11.01,11.01,10,10.39,90,93.22
11.03,11.03,10,10.36,90,93.28
11.05,11.05,10,10.35,90,93.29
11.07,11.07,10,10.35,90,93.35
11.09,11.09,10,10.34,90,93.36
11.11,11.11,10,10.33,90,93.34
11.13,11.13,10,10.34,90,93.31
11.15,11.15,10,10.35,90,93.36
11.17,11.17,10,10.33,90,93.4
11.19,11.19,10,10.31,90,93.44
11.21,11.21,10,10.3,90,93.51
11.23,11.23,10,10.29,90,93.6
11.25,11.25,10,10.28,90,93.67
11.27,11.27,10,10.28,90,93.67
11.29,11.29,10,10.31,90,93.59
11.31,11.31,10,10.34,90,93.48
11.33,11.33,10,10.38,90,93.36
11.35,11.35,10,10.41,90,93.23
11.38,11.38,10,10.44,90,93.14
11.4,11.4,10,10.46,90,93.06
11.42,11.42,10,10.45,90,93.1
11.44,11.44,10,10.43,90,93.16
11.46,11.46,10,10.41,90,93.26
11.48,11.48,10,10.39,90,93.36
11.5,11.5,10,10.36,90,93.42
11.52,11.52,10,10.35,90,93.46
11.54,11.54,10,10.33,90,93.52
11.56,11.56,10,10.33,90,93.57
11.58,11.58,10,10.31,90,93.56
11.6,11.6,10,10.3,90,93.57
11.62,11.62,10,10.29,90,93.6
11.64,11.64,10,10.28,90,93.59
11.66,11.66,10,10.28,90,93.56
11.68,11.68,10,10.29,90,93.54
11.7,11.7,10,10.29,90,93.5
11.72,11.72,10,10.31,90,93.45
11.75,11.75,10,10.35,90,93.41
11.77,11.77,10,10.37,90,93.4
11.79,11.79,10,10.36,90,93.41
11.81,11.81,10,10.35,90,93.37
11.83,11.83,10,10.37,90,93.34
11.85,11.85,10,10.37,90,93.33
11.87,11.87,10,10.35,90,93.33
11.89,11.89,10,10.36,90,93.33
11.91,11.91,10,10.36,90,93.36
11.93,11.93,10,10.34,90,93.37
11.95,11.95,10,10.32,90,93.36
11.97,11.97,10,10.3,90,93.44
11.99,11.99,10,10.3,90,93.52
12.01,12.01,10,10.29,90,93.53
12.03,12.03,10,10.29,90,93.54
12.05,12.05,10,10.3,90,93.56
12.07,12.07,10,10.28,90,93.52
12.09,12.09,10,10.27,90,93.46
12.11,12.11,10,10.27,90,93.47
12.14,12.14,10,10.27,90,93.48
12.16,12.16,10,10.26,90,93.44
12.18,12.18,10,10.26,90,93.42
12.2,12.2,10,10.29,90,93.3
12.22,12.22,10,10.33,90,93.14
12.24,12.24,10,10.35,90,92.98
12.26,12.26,10,10.37,90,92.85
12.28,12.28,10,10.38,90,92.8
12.3,12.3,10,10.39,90,92.83
12.32,12.32,10,10.4,90,92.84
12.34,12.34,10,10.39,90,92.82
12.36,12.36,10,10.39,90,92.79
12.38,12.38,10,10.39,90,92.79
12.4,12.4,10,10.38,90,92.82
12.42,12.42,10,10.37,90,92.88
12.44,12.44,10,10.33,90,93.08
12.46,12.46,10,10.29,90,93.3
12.48,12.48,10,10.25,90,93.46
12.5,12.5,10,10.21,90,93.56
12.53,12.53,10,10.18,90,93.68
12.55,12.55,10,10.16,90,93.78
12.57,12.57,10,10.15,90,93.86
12.59,12.59,10,10.15,90,93.95
12.61,12.61,10,10.16,90,94.01
12.63,12.63,10,10.16,90,94.03
12.65,12.65,10,10.18,90,94.01
12.67,12.67,10,10.21,90,93.92
12.69,12.69,10,10.23,90,93.81
12.71,12.71,10,10.23,90,93.72
12.73,12.73,10,10.23,90,93.68
12.75,12.75,10,10.23,90,93.66
12.77,12.77,10,10.23,90,93.64
12.79,12.79,10,10.22,90,93.62
12.81,12.81,10,10.22,90,93.61
12.84,12.84,10,10.21,90,93.64
12.86,12.86,10,10.19,90,93.66
12.88,12.88,10,10.18,90,93.68
12.9,12.9,10,10.15,90,93.75
12.92,12.92,10,10.12,90,93.88
12.94,12.94,10,10.13,90,93.89
12.96,12.96,10,10.14,90,93.9
12.98,12.98,10,10.14,90,93.93
13,13,10,10.18,90,93.77
13.02,13.02,10,10.22,90,93.66
13.04,13.04,10,10.25,90,93.58
13.06,13.06,10,10.26,90,93.51
13.08,13.08,10,10.28,90,93.44
13.1,13.1,10,10.31,90,93.36
13.12,13.12,10,10.32,90,93.33
13.14,13.14,10,10.31,90,93.31
13.16,13.16,10,10.31,90,93.32
13.18,13.18,10,10.31,90,93.3
13.21,13.21,10,10.29,90,93.32
13.23,13.23,10,10.27,90,93.42
13.25,13.25,10,10.26,90,93.55
13.27,13.27,10,10.24,90,93.65
13.29,13.29,10,10.22,90,93.59
13.31,13.31,10,10.23,90,93.6
13.33,13.33,10,10.24,90,93.61
13.35,13.35,10,10.22,90,93.72
13.37,13.37,10,10.18,90,93.9
13.39,13.39,10,10.16,90,94.01
13.41,13.41,10,10.14,90,94.09
13.43,13.43,10,10.12,90,94.11
13.45,13.45,10,10.09,90,94.15
13.47,13.47,10,10.1,90,94.12
13.49,13.49,10,10.11,90,94.05
13.51,13.51,10,10.12,90,93.96
13.53,13.53,10,10.14,90,93.87
13.56,13.56,10,10.16,90,93.78
13.58,13.58,10,10.18,90,93.73
13.6,13.6,10,10.19,90,93.71
13.62,13.62,10,10.2,90,93.72
13.64,13.64,10,10.2,90,93.74
13.66,13.66,10,10.19,90,93.76
13.68,13.68,10,10.18,90,93.75
13.7,13.7,10,10.17,90,93.74
13.72,13.72,10,10.18,90,93.76
13.74,13.74,10,10.2,90,93.7
13.76,13.76,10,10.23,90,93.54
13.78,13.78,10,10.27,90,93.34
13.8,13.8,10,10.31,90,93.16
13.82,13.82,10,10.34,90,93.03
13.84,13.84,10,10.36,90,92.98
13.86,13.86,10,10.36,90,92.98
13.89,13.89,10,10.35,90,93.02
13.91,13.91,10,10.33,90,93.1
13.93,13.93,10,10.31,90,93.17
13.95,13.95,10,10.3,90,93.27
13.97,13.97,10,10.29,90,93.36
13.99,13.99,10,10.28,90,93.45
14.01,14.01,10,10.29,90,93.5
14.03,14.03,10,10.28,90,93.5
14.05,14.05,10,10.28,90,93.5
14.07,14.07,10,10.28,90,93.44
